Stat ID	Asian	Black	Latino	MHI	% College	 % Eng - Good	% Full-time
276-Black	0	1	0	36904	0.136821449310186	0.968406523831231	0.371054547756989
278-Black	0	1	0	42068	0.184531974655431	0.951747569306394	0.368641359078769
280-Black	0	1	0	25985	0.0770402484035386	0.990646669891953	0.295204346798961
288-Black	0	1	0	40018	0.237730070515119	0.983068047337278	0.416848289128478
290-Black	0	1	0	32516	0.234055044820575	0.995367505016973	0.389409564759761
294-Black	0	1	0	31338	0.173979441317514	0.981545002174018	0.351037229116503
298-Black	0	1	0	29403	0.1919388735756	0.998155698250616	0.382433874787365
300-Black	0	1	0	32690	0.166923149895123	0.985021646798121	0.366843932779342
310-Black	0	1	0	23938	0.17616113031715	0.991258501848724	0.265437709481338
312-Black	0	1	0	32772	0.171243129171574	0.981858528921068	0.372967767237057
314-Black	0	1	0	27262	0.169424504197591	0.990532521652296	0.352849594263069
318-Black	0	1	0	26157	0.103699789678716	0.988512660917549	0.354504207293729
330-Black	0	1	0	31629	0.249144482467446	0.959600087174458	0.309639503578699
332-Black	0	1	0	36875	0.163211187899528	0.972867833386126	0.357251376653636
336-Black	0	1	0	28471	0.18204274793281	0.982400026515968	0.386970031071464
340-Black	0	1	0	29992	0.192884403493924	0.99569412449752	0.377839521444294
346-Black	0	1	0	27217	0.111013296096169	0.992069914225603	0.333643145407851
348-Black	0	1	0	41272	0.231976253741971	0.979618143677328	0.336880985630356
350-Black	0	1	0	30448	0.17270687021598	0.978173298949959	0.363856795482958
352-Black	0	1	0	29215	0.112864901561439	0.982934641177059	0.353964938927916
356-Black	0	1	0	28730	0.133427543950307	0.996085801396673	0.324548811351284
357-Black	0	1	0	25315	0.194019821938518	0.969780397745676	0.293486102270316
368-Black	0	1	0	32031	0.168362001689099	0.995159745619656	0.378587426761139
370-Black	0	1	0	35781	0.170048216928438	0.862667826343626	0.365601835064396
376-Black	0	1	0	26487	0.119438699207688	0.991352665393297	0.296225494784866
378-Black	0	1	0	30770	0.197412648645595	0.881471815402287	0.350120034622231
380-Black	0	1	0	27001	0.130849469210078	0.995540400494768	0.329675568597473
384-Black	0	1	0	20039	0.134249105390742	0.998127064485737	0.323860205843946
396-Black	0	1	0	26656	0.116500432663843	0.991514068780706	0.320172664012206
