330M200US294,294,Indianapolis-Carmel-Muncie:IN CSA,2312297,1848106,48433,50315,54659,61849,114674,391330,373313,4029,4795,18749
330M200US296,296,Ithaca-Cortland:NY CSA,151973,130669,10203,49559,53334,17621,5602,20866,30588,253,244,3373
330M200US298,298,Jackson-Vicksburg-Brookhaven:MS CSA,668070,328655,6577,42538,57530,62883,20796,57890,78983,297,744,2343
330M200US300,300,Jacksonville-St. Marys-Palatka:FL-GA CSA,1502294,1071053,49515,50195,55499,67206,68123,206300,202459,4556,5867,16127
330M200US304,304,Johnson City-Kingsport-Bristol:TN-VA CSA,509333,482707,3600,38588,38996,54415,55683,123835,70760,275,270,1551
330M200US306,306,Johnstown-Somerset:PA CSA,218531,206438,904,41602,42237,63571,17137,71921,25541,126,89,362
330M200US309,309,Joplin-Miami:MO-OK CSA,207624,182398,1942,39573,40698,54871,14654,43139,23377,214,274,506
330M200US310,310,Kalamazoo-Battle Creek-Portage:MI CSA,526338,444188,9278,43882,46925,58837,24101,89381,76454,654,553,3383
330M200US312,312,Kansas City-Overland Park-Kansas City:MO-KS CSA,2377124,1911748,56054,54480,59426,66480,79369,336609,445515,5918,5211,18486
330M200US314,314,Knoxville-Morristown-Sevierville:TN CSA,1090758,991030,12655,42782,44400,62526,93004,232804,162632,1185,1681,4238
330M200US316,316,Kokomo-Peru:IN CSA,119237,106845,1036,42148,43306,51129,9181,29071,12853,163,160,179
330M200US318,318,Lafayette-Opelousas-Morgan City:LA CSA,611771,415193,7929,43641,52183,54153,44396,104360,57840,2056,912,1161
330M200US320,320,Lafayette-West Lafayette-Frankfort:IN CSA,239648,212188,12056,45604,48275,19772,9966,41461,33200,424,349,4102
330M200US330,330,Lansing-East Lansing-Owosso:MI CSA,535742,449199,18259,48345,51334,46272,20094,78968,84221,1343,926,5766
330M200US332,332,Las Vegas-Henderson:NV-AZ CSA,2243070,1511737,181838,48831,52406,60458,74221,263955,207857,16416,28139,46806
330M200US336,336,Lexington-Fayette--Richmond--Frankfort:KY CSA,702310,593937,13603,46206,49401,60000,47517,108737,126162,944,744,5882
330M200US339,339,Lincoln-Beatrice:NE CSA,332184,294947,11125,51079,54001,39422,8349,43659,67037,1451,1429,2482
330M200US340,340,Little Rock-North Little Rock:AR CSA,893406,640648,11912,46727,54462,49952,43260,138591,121093,1024,1173,4443
330M200US346,346,Longview-Marshall:TX CSA,283536,217268,2426,43885,50451,74772,14913,41678,25958,290,195,611
330M200US348,348,Los Angeles-Long Beach:CA CSA,18211563,10748528,2291248,57859,71787,69155,270516,875419,1832711,207778,243986,822892
330M200US350,350,Louisville/Jefferson County--Elizabethtown--Madison:KY-IN CSA,1480664,1210185,24029,49482,52932,61761,93256,267958,216885,2672,2079,8081
330M200US352,352,Lubbock-Levelland:TX CSA,322644,258178,5742,44872,51257,71581,7596,26769,40539,315,146,2503
330M200US356,356,Macon-Warner Robins:GA CSA,417246,233034,7355,43928,54810,50852,18064,51589,40348,685,1366,1871
330M200US357,357,Madison-Janesville-Beloit:WI CSA,843741,745522,28551,56598,59498,48722,28176,135007,181125,2151,2219,9555
330M200US358,358,Manhattan-Junction City:KS CSA,134286,109788,4587,44971,45703,33704,2523,13571,19947,265,359,1722
330M200US359,359,Mankato-New Ulm-North Mankato:MN CSA,123433,115891,1704,51896,52942,43527,4187,22486,21290,145,71,383
330M200US360,360,Mansfield-Ashland-Bucyrus:OH CSA,218676,200109,1144,41720,42419,57171,16984,60024,22224,35,94,588
330M200US365,365,McAllen-Edinburg:TX CSA,867234,802532,8440,32890,46440,73937,4591,14056,13768,297,481,3416
330M200US366,366,Medford-Grants Pass:OR CSA,289539,267534,2540,41301,42023,36890,16208,53079,43824,199,338,860
330M200US368,368,Memphis-Forrest City:TN-MS-AR CSA,1366133,653592,26452,46241,61481,67265,35720,117523,149870,3045,2517,8871
330M200US370,370,Miami-Fort Lauderdale-Port St. Lucie:FL CSA,6372833,4621629,144040,46533,56333,62292,125612,481870,680397,13702,17636,50567
330M200US372,372,Midland-Odessa:TX CSA,295043,246960,3320,58326,67614,69813,8436,24303,26114,294,350,1014
330M200US376,376,Milwaukee-Racine-Waukesha:WI CSA,2036305,1586667,51785,52673,60585,64108,65683,304965,360990,5002,5185,15557
330M200US378,378,Minneapolis-St. Paul:MN-WI CSA,3761414,3094213,207229,65446,69761,65068,87963,499525,828820,23723,19066,51441
330M200US380,380,Mobile-Daphne-Fairhope:AL CSA,604534,414885,9267,44898,52081,45503,31761,87806,76889,1165,973,2010
330M200US382,382,Modesto-Merced:CA CSA,783090,557378,47797,45177,52499,57848,26586,70827,46816,7029,4747,8142
330M200US384,384,Monroe-Ruston-Bastrop:LA CSA,252393,149431,1740,34065,47736,62438,11430,34501,26366,186,194,420
330M200US390,390,Morgantown-Fairmont:WV CSA,191098,176734,3494,43993,44671,52695,12642,42355,31720,138,119,1533
330M200US393,393,Moses Lake-Othello:WA CSA,110310,73972,1099,45282,50634,30260,3824,12824,7860,71,206,205
330M200US396,396,Myrtle Beach-Conway:SC-NC CSA,455283,361242,4254,42327,45634,31398,27704,78527,68859,797,832,1061
330M200US400,400,Nashville-Davidson--Murfreesboro:TN CSA,1846241,1449441,40323,51103,55189,68951,100390,290826,305105,4346,4853,13097
330M200US404,404,New Bern-Morehead City:NC CSA,196009,150477,3522,46991,51870,45000,9133,29961,25528,752,313,678
330M200US406,406,New Orleans-Metairie-Hammond:LA-MS CSA,1453530,878904,35718,44444,55843,47169,63600,171934,176075,6891,4520,8564
330M200US408,408,New York-Newark:NY-NJ-CT-PA CSA,23370111,14537944,2162208,65157,80415,76807,620355,2296168,3906172,260041,230120,814541
330M200US412,412,North Port-Sarasota:FL CSA,917330,809046,13511,46668,48917,57280,46301,187602,172639,1270,2232,4182
330M200US416,416,Oklahoma City-Shawnee:OK CSA,1368524,1020407,38593,49208,54081,56765,56865,179550,197013,4749,5283,10309
330M200US420,420,Omaha-Council Bluffs-Fremont:NE-IA CSA,922509,782486,20456,55414,60297,57024,26484,130712,172735,2873,1973,6621
330M200US422,422,Orlando-Deltona-Daytona Beach:FL CSA,2920133,2170860,103254,45727,50771,60757,102776,373034,375015,9724,13893,32784
330M200US426,426,Peoria-Canton:IL CSA,417719,361454,8197,52056,54988,84429,19174,81148,63166,358,233,4226
330M200US428,428,Philadelphia-Reading-Camden:PA-NJ-DE-MD CSA,7126566,4928513,349657,59438,69935,68975,258650,1046252,1203697,42411,36727,121148
330M200US430,430,Pittsburgh-New Castle-Weirton:PA-OH-WV CSA,2661130,2348429,47195,50150,51991,60548,133221,627345,504037,3392,2769,21444
330M200US438,438,Portland-Lewiston-South Portland:ME CSA,625476,587587,9650,53621,54634,51543,29008,125286,142164,1539,1055,2158
330M200US440,440,Portland-Vancouver-Salem:OR-WA CSA,2992153,2484972,151994,55028,57585,64824,100933,379531,558333,15427,16349,45909
330M200US444,444,Pueblo-Cañon City:CO CSA,207786,166419,1296,41030,44919,40984,7124,26709,22661,216,264,202
330M200US446,446,Pullman-Moscow:WA-ID CSA,84014,74316,4020,37854,41160,22054,1540,7499,17673,80,87,1592
330M200US448,448,Quincy-Hannibal:IL-MO CSA,116455,108331,801,43100,43753,80114,8463,28715,14521,308,46,176
330M200US450,450,Raleigh-Durham-Chapel Hill:NC CSA,1998613,1338096,82008,55686,66016,79599,50933,169255,387473,5252,4304,36346
330M200US452,452,Rapid City-Spearfish:SD CSA,163378,140999,1648,49563,51772,48214,5996,29734,26600,188,181,325
330M200US454,454,Redding-Red Bluff:CA CSA,241642,210336,5271,42654,43587,37339,14458,39210,24196,724,594,1022
330M200US456,456,Reno-Carson City-Fernley:NV CSA,586597,482075,25452,51427,54968,57459,20648,74049,87819,2249,3559,6654
330M200US462,462,Rochester-Austin:MN CSA,249336,224410,9052,60344,61727,80919,8256,42161,47545,721,1042,2767
330M200US464,464,Rochester-Batavia-Seneca Falls:NY CSA,1177750,967390,29093,51558,56299,51777,50229,189528,220542,2885,2452,9404
330M200US466,466,Rockford-Freeport-Rochelle:IL CSA,445894,369670,8221,48365,52233,71667,22075,86183,54557,1147,1080,2106
330M200US468,468,Rocky Mount-Wilson-Roanoke Rapids:NC CSA,308193,147075,2056,37068,49186,52973,13294,34636,22248,414,182,775
330M200US472,472,Sacramento-Roseville:CA CSA,2461246,1669336,289824,56389,63064,60238,58677,215058,338424,34853,31286,71830
330M200US474,474,Saginaw-Midland-Bay City:MI CSA,388787,329819,4657,43963,47194,98265,20876,76238,50381,197,235,2150
330M200US476,476,St. Louis-St. Charles-Farmington:MO-IL CSA,2901722,2239638,63039,52964,59136,64539,125919,428761,508512,5074,5022,26032
330M200US482,482,Salt Lake City-Provo-Orem:UT CSA,2351432,2054929,55882,61011,64365,58776,53962,240290,381860,5331,6277,17134
330M200US488,488,San Jose-San Francisco-Oakland:CA CSA,8366587,4713578,1870983,74594,85400,91555,114952,428354,1327632,182903,181207,701744
330M200US496,496,Savannah-Hinesville-Statesboro:GA CSA,514654,308394,10341,46146,53034,44574,17588,55023,61899,1120,1337,3019
330M200US500,500,Seattle-Tacoma:WA CSA,4400176,3297959,454443,64438,67806,72311,117061,489364,842147,44363,53697,147691
330M200US512,512,Sioux City-Vermillion:IA-SD-NE CSA,182800,157171,3914,46982,50124,42875,7294,35140,23502,766,844,529
330M200US515,515,South Bend-Elkhart-Mishawaka:IN-MI CSA,721161,594301,10315,44138,47954,53106,46246,135533,92776,387,897,4031
330M200US518,518,Spokane-Spokane Valley-Coeur d'Alene:WA-ID CSA,675268,611217,13020,48386,49600,41443,28130,112584,109601,1384,1820,2203
330M200US520,520,Springfield-Branson:MO CSA,529248,492981,5608,41509,42028,40973,36195,105832,79832,456,859,1109
330M200US521,521,Springfield-Greenfield Town:MA CSA,697507,573827,18755,51995,59321,51101,31427,108795,119398,1736,1899,4915
330M200US522,522,Springfield-Jacksonville-Lincoln:IL CSA,317082,272160,4117,51767,54853,60526,15788,65072,53818,255,283,1562
330M200US524,524,State College-DuBois:PA CSA,236424,215917,8798,47243,48220,31984,11808,54743,39317,399,287,3023
330M200US532,532,Syracuse-Auburn:NY CSA,741397,637334,16880,52009,54883,48966,40299,137150,127224,2251,1125,4897
330M200US533,533,Tallahassee-Bainbridge:FL-GA CSA,400744,242392,9154,44400,54854,49987,10262,34455,61675,451,367,4147
330M200US534,534,Toledo-Port Clinton:OH CSA,650073,518405,9475,44251,49106,67976,29841,116115,88872,624,501,3897
330M200US536,536,Tucson-Nogales:AZ CSA,1039397,814028,26897,44395,51163,43415,23050,83260,156991,2522,2867,7897
330M200US538,538,Tulsa-Muskogee-Bartlesville:OK CSA,1123158,802248,19281,46956,51310,56263,48161,159493,150853,2070,3244,4735
330M200US540,540,Tyler-Jacksonville:TX CSA,265529,205411,2946,44537,53468,50453,10653,30490,33140,126,361,923
330M200US544,544,Victoria-Port Lavaca:TX CSA,117887,99007,1765,49794,56853,63611,3127,13525,9293,83,163,793
330M200US545,545,Virginia Beach-Norfolk:VA-NC CSA,1800751,1100772,62369,56661,65300,65824,52545,186781,239136,4584,7681,18771
330M200US546,546,Visalia-Porterville-Hanford:CA CSA,602409,475692,21183,42274,53390,57405,15635,38526,30651,3369,2373,3790
330M200US548,548,Washington-Baltimore-Arlington:DC-MD-VA-WV-PA CSA,9332476,5601284,698687,79644,91952,97987,218877,776532,1780596,47384,62219,298964
330M200US554,554,Wausau-Stevens Point-Wisconsin Rapids:WI CSA,308021,288413,10694,50381,50865,51250,16336,76836,43324,1074,1437,1458
330M200US556,556,Wichita-Arkansas City-Winfield:KS CSA,671533,557233,21449,49389,53478,51353,23276,93826,104014,3195,3340,4148
330M200US558,558,Williamsport-Lock Haven:PA CSA,156654,145996,975,45051,46092,76500,12399,43274,18474,73,111,265
330M200US566,566,Youngstown-Warren:OH-PA CSA,665217,580456,4330,42090,44393,60417,43897,181318,80161,647,386,1166
